views,likes,dislikes,comment_count
17158579,787425,43420,125882
1014651,127794,1688,13030
3191434,146035,5339,8181
2095828,132239,1989,17518
33523622,1634130,21082,85067
1309699,103755,4613,12143
2987945,187464,9850,26629
748374,57534,2967,15959
4477587,292837,4123,36391
505161,4135,976,1484
5068229,263596,8585,28976
3153224,28451,2285,3312
158815,218,30,186
5718766,127477,7134,8063
960747,31810,668,5335
1531218,53961,1697,4277
557883,44558,621,9619
1496225,16116,236,605
308568,19541,70,495
1096327,33966,798,882
817732,23663,778,3432
343168,10172,666,2146
3905245,53072,2437,1979
4204818,187890,167908,77348
549374,16832,248,3579
348841,27089,162,2099
370827,12150,325,2352
653398,27773,2778,3976
92280,11045,182,1412
178447,4339,96,876
585425,36207,1288,3002
116676,4324,136,618
3597410,128127,1756,10370
925222,85016,550,4303
123778,82,20,64
200264,2947,317,2321
191353,3307,85,534
721066,30576,1251,6114
182330,14901,55,1442
524623,34460,237,2490
2340941,200598,6018,7575
36311,277,28,13
3684,4,5,1
286231,2530,1127,3239
1637172,100779,989,18966
458964,4903,392,1289
172720,10736,236,3813
28992,1409,9,188
3641421,218587,5809,12649
10588371,132738,8812,10847
268111,447,100,240
141253,14354,202,417
234983,2358,125,344
207532,7473,246,2120
628340,37121,2100,1667
9548677,190085,15015,11473
900014,3273,1189,721
25863,32,3,13
106029,1270,101,181
11636,1375,20,281
9368,75,15,28
1064943,38449,466,2335
788935,15535,2557,2848
731639,13794,512,376
146900,1377,52,128
137210,381,105,156
325851,8998,185,1272
25887,0,0,6
274190,6303,266,368
29234,37,65,62
1846670,26611,1282,1221
116344,5068,106,1341
56077,1713,45,127
5029621,39098,989,1596
210478,905,176,85
256426,12656,1363,2368
33167,304,11,71
320964,8069,285,717
187075,2443,185,324
341389,44134,1045,5485
281350,17626,230,3352
1300826,3333,490,494
439507,2557,133,1294
738561,2519,224,1014
116820,1503,139,1066
1788176,178236,3054,46254
56407,734,136,10
378352,16566,188,2803
5541767,263919,1502,10706
319817,1796,562,1065
469779,2560,214,2084
961644,62033,1132,3842
786155,37126,895,6091
150974,220,65,201
70448,1538,25,315
135620,379,86,449
88061,47,58,17
432721,14053,576,1161
193241,18731,598,2627
19859,1070,14,132
28808,597,31,144
2736733,58967,3492,7915
119180,9763,512,1434
166818,465,42,60
415387,1010,90,655
203332,3391,139,1034
102766,294,39,39
756959,9976,262,645
70463,5992,44,402
374640,17351,431,3595
197183,1077,90,405
19646,159,14,53
264577,487,5,48
20163,44,34,8
320294,600,254,370
33032,2143,333,323
873333,22248,753,2550
100666,3573,121,258
78178,65,64,24
2682879,48408,2267,2341
2642930,115795,3055,6410
260199,4833,302,860
1504950,108635,1562,2913
140099,6140,130,428
282743,23037,338,1738
152118,9642,129,6095
72253,1217,146,569
100394,1619,907,1595
30001,221,7,101
62915,1007,21,55
351181,2206,453,540
387221,2159,1214,711
141148,1661,70,236
164110,725,133,322
43665,644,25,129
399208,3023,116,590
231745,10958,215,1433
87890,577,48,149
223871,8422,191,1214
341134,18017,439,6073
1107916,1807,269,1545
170707,1152,178,166
946859,37986,816,2006
275669,13106,317,1197
650469,17003,185,1102
482153,76203,477,9580
211868,5610,853,912
496192,1503,443,1020
375652,23771,207,1777
35401,1309,27,39
190106,6646,510,756
183670,10020,355,590
265303,1475,110,273
219605,24237,187,2941
2742984,70743,7557,8752
93198,607,46,206
721270,25232,1401,1750
778516,32322,382,16710
117022,466,135,24
16921,187,0,5
174130,4565,292,621
107331,206,5,8
1842393,99086,1339,11800
32941,149,2,5
27910,3360,23,695
1388115,17378,6835,1517
161971,6130,169,907
12603,90,1022,8
125273,3897,36,481
403223,2344,251,535
248993,10984,136,2063
943626,52806,4908,6065
64386,1639,86,472
549498,11618,912,1571
58675,390,28,53
13293,111,3,28
624328,7100,398,971
694624,20783,749,2147
294947,16263,294,1678
40454,2,5,2
291697,2623,185,347
635236,5945,722,1483
544770,7848,1171,3981
1547309,17913,551,1678
387351,9814,6721,2382
235156,13078,209,1466
85127,586,55,256
226051,1376,112,144
758492,11936,160,1472
632747,4330,2183,2869
29616,156,32,185
10037,33,66,7
212040,10217,125,1000
157289,1895,187,422
236040,29389,121,3336
1237072,26947,534,701
318474,1857,2450,1165
2649977,193479,3496,17846
1836419,28647,17819,7860
1611093,58474,837,3294
2765121,35531,1705,2388
3701763,56562,2495,11608
462490,14132,795,666
977285,87617,391,5575
445043,8976,131,466
1529652,63996,896,4697
971117,50402,1526,10834
853635,43655,213,2252
1032547,34751,1305,7375
119437,184,33,267
1503131,20618,607,2676
20539417,840642,47715,124236
555499,23818,270,1112
443131,27026,491,746
754502,15082,778,2285
2188675,88100,7150,24225
4326684,167696,6730,9265
1025278,14065,593,1825
295217,4854,1439,1267
340175,32580,405,3215
15537,58,163,46
16337,23,8,12
459497,14281,1860,3764
4752153,48776,4615,2502
2508912,144816,2262,18893
2253298,4632,104,932
983365,60984,578,3837
237611,1807,209,247
829132,25110,316,3428
79246,801,17,93
394709,25188,281,1345
260276,7465,131,566
1928003,56175,4305,2822
990009,85649,1284,2266
863116,20518,1030,4272
680801,36910,938,1510
2455165,47921,2236,8112
172461,5077,57,587
293235,1502,214,861
271606,22787,179,2964
3497179,199699,10543,27744
187026,786,121,218
1231992,36466,824,6156
580516,4793,1272,1844
74289,49,15,79
111491,62,18,36
391049,5939,106,385
3164460,64815,1837,3928
4972464,307330,4581,37509
3897195,31125,2771,3665
303877,1658,287,201
384635,3820,510,2833
249090,5491,506,2767
352054,11598,118,948
5776317,278236,9262,29761
128316,5972,164,2049
27497,706,51,35
115736,4186,530,1276
275726,13083,4637,3290
107318,876,70,52
591632,3231,1327,1030
1001985,36944,506,3260
370423,2904,439,1512
419965,9805,1337,5457
404217,2295,328,764
70987,889,6,380
758998,19138,2272,2873
11810,1,0,0
157049,2197,169,257
148993,5019,84,435
246591,6281,291,1472
198004,15812,275,1982
89444,753,45,666
61778,375,29,283
48421,2978,949,1073
167426,10576,106,626
1893816,60703,2028,4333
623627,47807,983,2279
39082222,1721384,23137,90352
1099318,26813,1047,3827
545806,4193,448,1842
810533,18996,1044,899
577618,37369,1715,6457
133345,10065,96,595
2010343,9400,540,2483
446733,33259,994,2855
166512,3165,138,1021
2671756,12699,505,1010
41029,296,32,33
187643,9323,86,350
10093,124,31,192
1651358,41670,1410,1545
560691,18085,180,5465
33754,83,24,14
913840,9438,1240,4157
29014,1954,85,433
55192,4684,39,1183
399491,6240,326,287
76484,1798,240,1251
15431,267,2,13
4734409,60348,2844,2248
5156718,198368,200391,74776
668826,26926,401,4650
157590,14465,79,5723
136789,295,13,37
334598,15069,154,2106
523181,19398,238,3140
49231,3388,28,398
418230,29932,186,2275
4851,31,0,0
96334,483,40,103
66438,216,76,201
104643,259,84,143
567803,43269,4038,2872
347848,10046,84,433
391642,4378,371,1553
1663206,38322,3867,9107
405955,30369,926,4523
286273,1264,335,782
1544710,12417,803,2186
16825,102,23,36
815179,32264,3313,3487
109639,722,139,34
249735,5642,137,1041
45662,219,57,63
214480,20837,614,2439
533561,15499,905,2642
198666,1110,389,1020
52967,3083,49,792
1013926,43638,378,4737
124697,906,49,286
6236,28,6,3
339499,3298,438,1070
185267,14896,65,835
37857,163,14,53
697151,56579,307,5556
179243,14112,240,2245
571588,386,47,113
166458,1825,112,194
1215475,18646,697,419
643350,33747,443,4054
203345,573,133,804
102591,1766,33,362
584612,2102,186,546
860583,98526,801,11224
437979,8787,287,1616
37593,146,23,20
4200230,140100,1996,10522
5792827,48443,1230,1835
1012191,7769,362,1528
116314,3819,73,368
1088925,90341,632,4634
30843,80,45,9
51102,437,51,1016
149138,2624,67,194
311936,2627,1196,3621
58633,1189,93,842
639326,38129,1348,3211
1670638,46666,679,2595
86797,1668,5,67
250174,2671,126,574
1562510,50710,1002,1246
474689,7061,368,1202
454790,14853,133,1383
289855,1924,176,287
309388,2908,201,2214
86826,1167,77,692
527677,38597,416,1422
41534,8542,26,2597
12974558,216320,17751,12133
250837,3775,5313,3493
148959,3635,67,565
241896,3049,142,1683
988066,31614,761,3424
84605,4338,268,333
617754,1923,168,1388
2010012,111876,1169,20228
114216,4319,66,4940
821725,24922,758,5352
192550,16263,169,1870
790665,32185,1318,5428
220893,15261,70,1832
52926,410,30,237
110981,4590,75,315
351660,527,125,275
233803,12837,297,4073
306485,9573,396,3148
163926,1118,150,390
11810521,142237,9944,11907
541428,1128,1036,691
814126,71050,1805,12175
102835,666,87,305
891912,122350,455,7459
3979891,151850,2378,8079
5531707,72727,3362,14816
2900560,37330,34908,10768
2223948,76807,1169,4176
3842156,43972,2288,2854
1147169,31832,1902,1498
1961066,142740,773,8471
2893243,202959,3900,18800
17862,1013,36,47
415096,8687,83,147
3621389,141682,1289,8127
645569,11541,206,734
807094,30687,979,4867
2918106,93040,1765,6493
1012513,20036,6510,5153
52323,806,55,129
1451881,16654,830,1632
127747,156,50,292
1470628,64893,2282,14080
1803724,57470,5261,7483
1496471,43974,2045,9442
788000,10315,160,1288
260982,474,26,85
1088036,51347,256,2707
1177957,185759,1370,9801
748481,20756,3054,5762
1559003,29898,884,1838
520049,28187,452,1607
612112,44648,787,4014
381026,2267,171,1021
313325,8762,116,3110
1621002,49600,2917,2645
387902,24443,414,1346
193382,1908,181,1199
808317,49439,254,54943
964813,17124,1083,2662
552895,32570,586,819
5386,7,2,1
3715529,86803,2264,11409
714815,37261,772,3673
155875,1660,47,141
821704,29004,1017,1526
611039,25022,291,1168
240897,13088,194,1644
1610930,85208,916,5001
640625,3186,442,1641
558307,44085,519,1951
332798,2175,298,287
4576001,172379,6952,9440
1251180,32186,455,4166
11914,31,19,13
957709,5618,1129,2809
177233,736,120,130
2401239,61196,4911,3110
2325233,91111,7543,21450
941274,45924,1259,1678
126547,4214,608,1476
161482,936,97,348
5168203,51975,5286,2538
291634,1531,295,185
539148,8033,432,3491
124458,11571,354,2587
145723,74,29,121
564551,3241,1123,845
158478,2165,153,350
345227,35222,104,3517
1146278,23315,1253,1058
144217,9856,68,1104
254436,4331,96,446
72049,721,43,176
534571,12633,597,1828
332343,8534,162,628
227565,16484,725,1912
149076,8060,87,1317
1267473,111445,1663,5994
864235,51588,327,10258
411960,20809,448,7978
1489178,113033,1908,2853
939129,64757,647,1413
153736,1387,18,516
627820,25647,982,7047
2584165,147110,2305,19313
1279800,75010,1266,11658
623803,17286,511,6126
367032,18645,114,1429
35112,597,29,132
139558,2405,26,315
2510664,0,0,1641
68011,457,38,285
65122,287,45,32
103858,3639,35,391
12940,440,0,12
171236,3123,420,1928
52205,164,27,93
21839,28,18,27
338908,25407,228,3184
22702386,869304,50018,123235
18764,79,278,65
262736,10637,182,867
1825705,77531,4156,12025
418661,8631,493,1912
202125,6055,50,719
7742,761,9,269
7966,410,14,33
700691,3262,510,1065
128390,10890,83,2480
333097,11690,733,1947
45546,143,36,92
3663,2,0,2
1037561,716,117,223
535562,5306,526,3960
67136,648,22,191
79058,1366,121,1001
936130,21642,1202,2877
574778,7517,154,515
284546,9974,134,4362
212206,22470,160,1661
154151,576,152,27
231961,5803,95,687
121133,809,131,50
144146,1002,83,67
1300267,13055,871,1811
248362,6887,142,572
122087,1261,150,476
228385,674,56,195
73231,48,8,43
194796,11151,188,965
1119857,10926,1468,4911
2333278,11373,1206,3697
1423971,83358,597,3733
551409,3243,169,807
59846,517,9,327
587752,11891,1777,6920
46381,212,28,47
1099126,58223,2511,4763
110153,4929,86,610
63079,727,62,465
655758,10357,275,1383
443751,5302,10271,6416
7494,136,0,44
195715,7670,231,2470
316645,6637,588,3155
285091,15716,164,846
3594708,202546,10683,11064
207430,13372,158,683
296324,1962,216,390
1283032,37562,855,5132
435391,24586,303,9363
175637,6432,82,490
1502902,11298,920,1155
1327882,4321,573,1487
294701,12200,122,420
314071,4216,284,1778
467088,9228,220,1234
5085080,311511,4746,34278
40407,0,0,319
177648,6932,786,697
860406,20489,2507,3083
4031523,31751,2880,3530
70493,584,125,111
180487,1242,32,372
163524,8632,115,1273
24236,306,24,86
387955,20680,490,1526
7889,220,0,3
18621,29,15,27
955180,203,27,82
289277,2909,235,1109
2008095,64453,646,6034
196775,5888,77,683
79686,493,74,278
229515,9435,90,759
111484,808,94,613
164870,1693,39,160
298675,7437,429,1379
86493,3422,95,565
1141,0,0,0
90299,1794,12,146
319114,1581,79,58
30590,886,14,58
277600,16620,403,2188
1187,0,0,0
99466,5578,50,618
294237,5750,89,364
574248,38734,1229,3965
1275537,43760,653,3982
61215,2424,26,208
186276,13990,251,367
3090,108,4,42
255034,1427,453,1220
97571,4313,96,1120
17051,36,10,37
206367,7225,33,585
347414,4448,250,3483
267039,3852,70,397
889198,61662,1387,2833
6659676,223822,4515,11792
4722974,119111,3782,6651
1603415,65599,700,12169
3495474,41976,42467,12311
2486210,83813,1273,4472
67330,1155,116,287
1333817,35951,2080,1611
397983,5666,1682,1306
2585193,40778,3499,8834
112990,128,33,432
4281966,46971,2538,3009
2167114,151277,862,8848
337185,37109,358,4784
3018010,207433,4099,19332
333089,6745,198,1282
1380730,41392,1477,6362
1223069,23939,8061,6518
115331,3002,213,184
329318,21146,215,2112
482932,11645,121,255
554732,15248,325,2055
392458,1467,54,743
2935330,281104,2679,16009
2336528,6729,167,1286
791834,10359,228,749
1117510,61075,463,64506
1164713,88543,742,6750
3300683,98182,1914,6794
501670,28310,422,4084
684257,11956,231,576
212803,4134,177,274
505886,23207,5376,7030
1028474,19155,1268,409
304193,567,43,120
2682800,41046,1527,2748
1577533,67286,2451,12571
324544,10121,312,1094
334497,12594,622,588
394281,42935,893,2694
677167,31301,747,1690
323829,4131,262,385
1664684,234160,1845,11647
313793,20657,226,10869
2128788,61484,7801,9079
141104,8572,99,1590
533948,12136,169,3638
212024,1993,62,200
804363,39819,6304,10586
136041,6228,93,815
95700,6608,84,1213
400148,18713,320,2142
1159690,53363,279,2910
575434,29299,514,1749
132315,5623,102,2966
26967,91,98,38
177515,5487,94,1740
243241,11292,111,1637
304673,20116,715,4331
1090890,47482,1043,4421
1292174,54948,1240,1762
235536,2193,226,1306
685641,8969,398,4995
454559,2686,280,1377
986574,36300,789,5398
4373507,94443,2502,12173
137072,1661,12,277
529568,2366,199,1137
736829,18708,794,6460
814832,4141,549,1376
655161,21013,2563,2671
736556,14610,852,708
694996,50171,657,2136
134340,10608,52,879
134235,13802,1114,5453
598162,34920,609,776
717731,27558,893,6070
1532904,47589,3304,3848
772213,10074,598,4195
139552,70,32,88
109878,10381,84,2275
10164,29,3,3
416189,2107,714,219
1276326,70960,811,4293
3483755,789764,2840,72376
7610,13,0,3
1843479,91834,1030,5441
225900,13614,108,1337
1374748,25510,1366,1163
1117997,50950,760,5525
244039,1216,224,424
320851,12241,236,1174
641309,25588,300,1073
111329,4145,96,297
2752866,63989,5262,3048
1942315,136703,2421,7535
1177611,6509,1391,3220
82447,728,30,216
185781,2899,34,420
75479,3242,63,464
178977,14355,87,429
68998,3141,320,1052
68352,1028,58,89
470398,12627,373,2956
41504,36,13,28
276824,1507,309,139
471268,43663,135,4192
132088,7346,328,1260
169967,2164,47,253
1351046,33596,496,4344
406851,23981,1291,2855
677463,6070,626,4555
867802,23523,3440,5936
28513,1224,4,374
704337,28123,724,10377
492183,11490,228,750
135510,5044,159,1154
277980,12183,116,1934
222825,15453,152,3303
46254,546,26,397
67378,1057,90,941
1901318,17182,1184,2133
73765,6929,96,1504
4737269,175762,7017,9557
1693011,84669,810,14183
645577,28017,187,1828
205448,24121,621,2804
998444,47800,1315,1717
180342,573,121,61
1263566,79060,817,1595
122728,9876,63,1747
118097,3774,168,1419
145581,2008,161,311
50490,80,49,15
394069,13889,142,820
2400741,92831,7687,21714
279979,7099,62,787
187691,1136,104,240
188341,760,125,132
1790057,90854,720,3857
377233,2341,339,308
5277237,53089,5521,2524
96846,4679,56,304
160816,11380,1403,3880
80586,1582,1752,3028
28939,229,4,86
463992,25840,509,3708
117628,957,92,284
794338,31491,1406,5616
1595201,117962,2028,2946
324707,1092,96,262
566332,17240,1101,2612
216137,3619,268,135
464981,13585,203,4591
41065,408,43,258
479263,2666,214,300
354088,12929,269,1050
154668,4792,50,467
51461,2299,47,137
358881,12351,201,1755
243083,2666,93,796
107088,1131,87,791
293017,1742,224,638
22279,29,18,27
916731,83323,1052,6884
655537,4842,241,1366
295094,9270,140,645
2656622,149105,2339,19644
95216,11265,108,1225
94640,2024,394,1385
652467,32665,431,13306
8018,403,3,21
52570,3891,40,584
487929,15866,378,3628
40266,2045,72,274
325333,2750,307,383
317426,2784,25,218
60282,768,12,168
305153,28799,243,1969
310494,8566,329,1079
129777,4471,140,372
1884763,135815,3303,12752
206823,13814,127,1699
670446,95714,3103,6802
1762418,12532,1087,1234
39133,613,3,15
478560,9225,539,2096
259007,13453,230,1108
138609,498,80,617
57741,354,48,300
68193,0,0,428
24578152,891283,51978,125444
92629,4689,82,356
546892,5855,152,558
181513,9238,182,1220
217795,2806,91,235
1494393,4701,643,1559
296049,839,234,45
647820,8122,168,530
102299,11331,94,737
8291139,254160,5437,11910
8072982,174945,6413,9529
6451949,150019,2976,26869
3014068,115005,2389,5641
7797259,94548,8233,17122
517275,1912,85,910
521011,13512,151,311
1235481,13805,463,1891
617545,7017,523,611
804878,35094,489,3320
3252728,10779,282,1949
1291361,16081,1368,2877
287346,1178,191,608
781343,76311,743,10482
85684,1481,162,423
3631775,43038,44500,12476
142922,3763,869,178
18558186,1002566,32179,59945
523234,6762,2253,1754
1178020,21696,668,942
625022,35886,345,3322
118429,383,112,143
456491,22922,195,1521
1654828,109422,992,7924
1158594,25081,514,3934
2635714,87053,1330,4600
1406451,37209,2146,1782
182451,158,53,494
2244679,174921,3035,20544
215746,1206,60,618
4716036,395289,3925,19741
54690,979,24,672
2286953,156920,915,8454
563518,50725,601,5980
1816989,47925,1794,6989
295577,6456,193,504
4558472,48624,2673,2558
803802,36813,619,5178
770478,18565,438,2482
111389,1368,39,125
213134,13718,67,1183
366048,14743,1308,1948
646615,68814,1084,5977
1285629,24686,8404,6778
271865,14515,75,1818
561843,29344,383,14205
3158597,19584,995,7573
114688,3761,60,536
1593275,61135,10680,16283
173225,807,31,58
90474,101,22,85
559594,29391,180,2684
341851,5440,271,349
296595,23688,2609,9080
